Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,2.378217033663013,inf,2.7409257528803277,13.168590242007493,-0.1992072118335093
Random Forest Regressor,2.2804981105006106,,2.4002895056106337,10.962061342741395,0.0017319411426391929
Support Vector Regressor,1.7486667424718387,inf,2.828934379464304,11.060705099542158,-0.007251124043827772
Kernel Ridge Regressor,1.5486972296416759,inf,2.2958149320970476,7.669229311539571,0.30159607592124815
K-NN Regressor,1.8212948717948716,,2.9260536984792265,11.878905256410256,-0.08176111416483223
Gaussian Process Regressor,2.1456251475214154,inf,2.038744363893151,8.760185854982383,0.20224732782821486
Gradient Boosting Regressor,2.31988069196461,inf,2.5918702413827055,12.099637773115443,-0.10186228073273251
TPOT Regressor,2.208399213023566,,2.9313253659695935,13.46969548525988,-0.2266275789793626
Ensemble Model,2.0673556681873224,inf,2.3677146784656844,9.880032257408105,0.10026770379444194
